everything, all
raid, attack
destroy, attack
kill, attack
charge, attack
raid, attack
strike, attack
?, help
advice, help
aid, help
benefit, help
man, riddler
butler, riddler
kevin, riddler
helper, riddler
leave, quit
move, go
scram, go
hightail, go
glance, look
glimpse, look
peek, look
gander, look
grab, take
suicide, die
dive, jump
fall, jump
rise, jump
free, unlock
quack, talk
chat, talk
speak, talk
jabber, talk
release, unlock
pick, unlock
bite, eat
chew, eat
devour, eat
dine, eat
feed, eat
ingest, eat
inhale, eat
nibble, eat
swallow, eat
absorb, eat
drink, eat
i, inventory
henry, henrypellatt
lady, ladypellatt
shaving, shavingcream
cream, shavingcream
water, waterbottle
bottle, waterbottle
warm, warmbread
bread, warmbread
battering, batteringram
ram, batteringram
